Date,card_number,full_name,Department,Category,Transaction,Amount,Barcode,Title,Author,homebranch,holdingbranch
2024-01-01 10:06:49,37919N,RWKU8Q,CHEM,ST,Check in,-,94107,CHEMICAL REACTION ENGINEERING-II,"GAVHANE, K A",RIT,RIT
2024-01-01 10:19:05,BMWSIY,XCVW24,UNDER GRADUATION(UG),ST,Check in,-,91884,GATE: 2020COMPUTER SCIENCE AND INFORMATION TECHNOLOGY,PUBLICATIONS G K,RIT,RIT
2024-01-01 10:26:16,A98L2Y,XCVW24,MCA,PG,Check in,-,MC2477,SOFTWARE ENGINEERING,"SOMMERVILLE, IAN",RIT,RIT
2024-01-01 10:27:59,YXA2EP,XCVW24,ARCH,ST,Renew,-,85457,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA M N",RIT,RIT
2024-01-01 10:31:26,7JE3FG,XCVW24,UNDER GRADUATION(UG),ST,Renew,-,42463,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI, RAMEZ",RIT,RIT
2024-01-01 10:35:03,7JE3FG,XCVW24,UNDER GRADUATION(UG),ST,Renew,-,DB5478,ARTIFICIAL INTELLIGENCE,RUSSELL STUART,RIT,RIT
2024-01-01 10:35:04,GWGTKY,XCVW24,ARCH,ST,Check out,,70341,ELEMENTS OF CIVIL ENGINEERING AND ENGINEERING MECHANICS,"PRAKASH, SHESHA. M. N",RIT,RIT
2024-01-01 10:35:08,GWGTKY,XCVW24,ARCH,ST,Check out,,95763,SAAMSKRITIKA KANNADA,BORALINGIAH H C,RIT,RIT
2024-01-01 10:36:00,7JE3FG,XCVW24,UNDER GRADUATION(UG),ST,Check in,-,99943,OPERATING SYSTEM CONCEPT,"SILBERSCHATZ , ABRAHAM GALVIN , PETER BAER, GREG GAGNE",RIT,RIT
2024-01-01 10:36:50,7JE3FG,XCVW24,UNDER GRADUATION(UG),ST,Check out,,99943,OPERATING SYSTEM CONCEPT,"SILBERSCHATZ , ABRAHAM GALVIN , PETER BAER, GREG GAGNE",RIT,RIT
2024-01-01 10:37:57,RH0PZM,XCVW24,UNDER GRADUATION(UG),UG,Renew,-,71569,ELECTRONIC DEVICES AND CIRCUITS,"BELL, DAVID",RIT,RIT
2024-01-01 10:39:11,5LKI73,XCVW24,MCA,PHD,Check in,-,76539,PATTERN RECOGNITION,MURTY NARASIMHA M,RIT,RIT
2024-01-01 10:39:28,5LKI73,XCVW24,MCA,PHD,Check in,-,40494,DATA MINING: CONCEPTS AND TECHNIQUES,"HAN, JIAWEI",RIT,RIT
2024-01-01 10:40:19,7SQ8AI,XCVW24,UNDER GRADUATION(UG),UG,Renew,-,72758,DIGITAL DESIGN: WITH AN INTRODUCTION TO VERILOG HDL,M. MORRIS MANO,RIT,RIT
2024-01-01 10:44:40,VYNSA9,XCVW24,BT,UG,Check in,-,88922,BIOPROCESS ENGINEERING BASIC CONCEPTS,"SHULER,MICHAEL L AND KARGI, FIKRET",RIT,RIT
2024-01-01 10:54:15,8NLQI7,XCVW24,CSE_AIML,ST,Renew,-,76805,A TEXTBOOK OF ENGINEERING PHYSICS,AVADHANULU,RIT,RIT
2024-01-01 11:00:08,VC9SZW,XCVW24,BT,ST,Renew,-,93859,ADVANCED CALCULUS AND NUMERICAL METHODS,CHANDRASHEKAR K S,RIT,RIT
2024-01-01 11:00:15,VC9SZW,XCVW24,BT,ST,Renew,-,93828,CALCULUS AND LINEAR ALGEBRA,CHANDRASHEKAR D S,RIT,RIT
2024-01-01 11:00:21,VC9SZW,XCVW24,BT,ST,Renew,-,93304,CALCULUS AND LINEAR ALGEBRA,CHANDRASHEKAR K S,RIT,RIT
2024-01-01 11:00:29,VC9SZW,XCVW24,BT,ST,Renew,-,92157,ADVANCED CALCULUS AND NUMERICAL METHODS,CHANDRASHEKAR K S,RIT,RIT
2024-01-01 11:01:28,PJBXG9,XCVW24,ECE,ST,Renew,-,93712,ENGINEERING CHEMISTRY,"GADAG, R V",RIT,RIT
2024-01-01 11:02:36,PJBXG9,XCVW24,ECE,ST,Other,-24.0000,,,,,
2024-01-01 11:03:43,EU02CX,XCVW24,,UG,Renew,-,77361,CRYPTOGRAPHY AND NETWORK SECURITY,FOROUZAN,RIT,RIT
2024-01-01 11:06:09,7826RZ,XCVW24,,UG,Check out,,89335,CONCRETE TECHNOLOGY,SHETTY M S,RIT,RIT
2024-01-01 11:07:05,EU02CX,XCVW24,,UG,Check in,-,99393,ARIFICIAL INTELLIGENCE A MODERN APPROACH,"RUSSELL,STUART AND NORVIG,PETER",RIT,RIT
2024-01-01 11:07:14,EU02CX,XCVW24,,UG,Check in,-,99947,OPERATING SYSTEM CONCEPT,"SILBERSCHATZ , ABRAHAM GALVIN , PETER BAER, GREG GAGNE",RIT,RIT
2024-01-01 11:07:19,EU02CX,XCVW24,,UG,Check in,-,99416,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI,RAMEZ AND NAVATHE SHAMKANT",RIT,RIT
2024-01-01 11:07:48,9WB436,XCVW24,UNDER GRADUATION(UG),ST,Check out,,99416,FUNDAMENTALS OF DATABASE SYSTEMS,"ELMASRI,RAMEZ AND NAVATHE SHAMKANT",RIT,RIT
2024-01-01 11:07:55,9WB436,XCVW24,UNDER GRADUATION(UG),ST,Check out,,99393,ARIFICIAL INTELLIGENCE A MODERN APPROACH,"RUSSELL,STUART AND NORVIG,PETER",RIT,RIT
2024-01-01 11:08:03,9WB436,XCVW24,UNDER GRADUATION(UG),ST,Check out,,99947,OPERATING SYSTEM CONCEPT,"SILBERSCHATZ , ABRAHAM GALVIN , PETER BAER, GREG GAGNE",RIT,RIT
